# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "16" "-p" "-t" "exon" "-g" "gene_id" "-a" "reference/AmoebaDB-61_NgruberiNEG-M.gtf" "data/mapping/Ng_01_mapping.bam" "data/mapping/Ng_02_mapping.bam" "data/mapping/Ng_03_mapping.bam" "data/mapping/Ng_04_mapping.bam" "data/mapping/Ng_05_mapping.bam" "data/mapping/Ng_06_mapping.bam" "data/mapping/Ng_07_mapping.bam" "data/mapping/Ng_08_mapping.bam" "data/mapping/Ng_09_mapping.bam" "data/mapping/Ng_10_mapping.bam" "data/mapping/Ng_11_mapping.bam" "data/mapping/Ng_12_mapping.bam" "data/mapping/Ng_13_mapping.bam" "data/mapping/Ng_14_mapping.bam" "data/mapping/Ng_15_mapping.bam" "data/mapping/Ng_16_mapping.bam" "data/mapping/Ng_17_mapping.bam" "data/mapping/Ng_19_mapping.bam" "data/mapping/Ng_21_mapping.bam" "-o" "data/feature_counts/counts.txt" 
Geneid	Chr	Start	End	Strand	Length	data/mapping/Ng_01_mapping.bam	data/mapping/Ng_02_mapping.bam	data/mapping/Ng_03_mapping.bam	data/mapping/Ng_04_mapping.bam	data/mapping/Ng_05_mapping.bam	data/mapping/Ng_06_mapping.bam	data/mapping/Ng_07_mapping.bam	data/mapping/Ng_08_mapping.bam	data/mapping/Ng_09_mapping.bam	data/mapping/Ng_10_mapping.bam	data/mapping/Ng_11_mapping.bam	data/mapping/Ng_12_mapping.bam	data/mapping/Ng_13_mapping.bam	data/mapping/Ng_14_mapping.bam	data/mapping/Ng_15_mapping.bam	data/mapping/Ng_16_mapping.bam	data/mapping/Ng_17_mapping.bam	data/mapping/Ng_19_mapping.bam	data/mapping/Ng_21_mapping.bam
GENE_54959	GG739330.1	8	1276	+	1269	0	5	0	6	13	13	12	16	8	9	17	12	6	15	69	71	69	2	1
GENE_54929	GG739257.1	127	1089	+	963	16	7	0	10	20	22	31	31	12	9	14	19	15	141	23	53	38	94	236
GENE_77039	GG739384.1	111	605	+	495	0	0	0	2	3	0	1	2	17	14	15	15	14	4	6	2	4	8	3
GENE_77018	GG739360.1	15	546	-	532	22	104	64	104	29	14	34	24	24	20	23	31	19	22	19	17	15	130	223
GENE_77019	GG739360.1;GG739360.1	1075;1315	1090;1638	+;+	340	7	8	3	3	12	10	13	6	9	11	8	11	10	1	3	6	8	3	2
GENE_54811	GG739089.1	1274	2102	-	829	0	10	0	4	13	10	10	16	489	442	512	538	504	16	16	11	15	12	13
GENE_76693	GG739089.1	7716	8072	+	357	0	9	0	4	25	9	9	17	96	83	94	94	91	16	22	28	42	12	14
GENE_76895	GG739229.1	32	818	-	787	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
GENE_76605	GG739046.1;GG739046.1;GG739046.1;GG739046.1	7899;8045;8557;8712	7999;8419;8614;8834	-;-;-;-	657	31	108	0	130	143	134	151	139	313	269	351	318	305	172	134	163	133	94	55
GENE_76595	GG739043.1	244	693	+	450	23	6	67	0	1	0	1	0	154	129	118	127	153	0	0	0	2	0	3
GENE_76596	GG739043.1;GG739043.1;GG739043.1;GG739043.1;GG739043.1;GG739043.1;GG739043.1;GG739043.1;GG739043.1;GG739043.1;GG739043.1;GG739043.1;GG739043.1;GG739043.1;GG739043.1	2315;7061;7107;7155;7201;7247;7295;7343;7389;7437;7569;7615;7664;7711;8298	2959;7063;7109;7157;7203;7249;7297;7345;7391;7523;7571;7617;7666;8100;8318	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1176	51	60	0	61	125	120	109	157	389	459	468	435	432	241	398	439	476	266	288
GENE_49435	GG738871.1	1	441	+	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE_68122	GG738871.1;GG738871.1;GG738871.1;GG738871.1	1663;7150;7598;7719	1721;7557;7672;9687	-;-;-;-	2511	12	13	0	16	62	78	81	77	153	140	152	130	137	52	150	132	170	25	42
GENE_68123	GG738871.1	10702	17928	-	7227	0	8	0	5	13	23	18	17	58	53	60	72	79	27	46	65	68	76	60
GENE_49437	GG738871.1;GG738871.1	18689;20502	20163;21567	+;+	2541	21	19	0	12	37	31	38	31	1257	1212	1666	1346	1280	26	16	51	57	36	35
GENE_t348	GG738871.1	21623	21696	+	74	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	0
GENE_55791	GG738871.1	23215	24191	-	977	28938	45742	3930	55844	60253	61496	54647	41724	19245	17026	21836	19658	19518	42449	37393	28073	27743	28668	40697
GENE_49439	GG738871.1	26351	28315	+	1965	615	1142	83	1062	294	257	227	190	260	185	247	236	249	885	1979	763	749	1208	1806
